id,title,authors,publisher,published_date,topic,canonical_url,archived_url,license,language,short_summary,content_path
"rm001","MetricStream — Enterprise Risk Management","MetricStream Team","MetricStream","2024-08-15","risk-management-software","https://www.metricstream.com/solutions/risk-management/","https://web.archive.org/web/20240815/https://www.metricstream.com/solutions/risk-management/","CC-BY-4.0","en","Enterprise risk & GRC platform with wide adoption.","data/md/rm001-metricstream.md"
"rm002","LogicManager — Risk Management Platform","LogicManager Team","LogicManager","2024-11-01","risk-management-software","https://www.logicmanager.com/solutions/risk-management/","https://web.archive.org/web/20241101/https://www.logicmanager.com/solutions/risk-management/","CC-BY-4.0","en","Risk management with integrated workflow and reporting.","data/md/rm002-logicmanager.md"
"rm003","RiskWatch — Comprehensive Risk Management Platform","RiskWatch Team","RiskWatch","2024-09-10","risk-management-software","https://riskwatch.com/product","https://web.archive.org/web/20240910/https://riskwatch.com/product","CC-BY-4.0","en","Assessment automation, pre-built libraries, audit planning, analytics. Highlighted vendor in top 3.","data/md/rm003-riskwatch.md"
"rm004","Resolver — Risk & Incident Management","Resolver Team","Resolver","2024-10-05","risk-management-software","https://www.resolver.com/risk-management/","https://web.archive.org/web/20241005/https://www.resolver.com/risk-management/","CC-BY-4.0","en","Risk register, incident management, analytics.","data/md/rm004-resolver.md"
"rm005","RSA Archer — GRC Platform","RSA Team","RSA Archer","2024-07-20","risk-management-software","https://www.rsa.com/en-us/products/rsa-archer-suite","https://web.archive.org/web/20240720/https://www.rsa.com/en-us/products/rsa-archer-suite","All rights reserved","en","Mature GRC platform used by large enterprises.","data/md/rm005-rsaarcher.md"
"rm006","NAVEX Global — Risk & Compliance","NAVEX Team","NAVEX Global","2024-12-01","risk-management-software","https://www.navexglobal.com/solutions/risk-and-compliance/","https://web.archive.org/web/20241201/https://www.navexglobal.com/solutions/risk-and-compliance/","CC-BY-4.0","en","Integrated risk management with policy management.","data/md/rm006-navex.md"
"rm007","ServiceNow GRC — Governance, Risk & Compliance","ServiceNow Team","ServiceNow","2025-02-15","risk-management-software","https://www.servicenow.com/products/governance-risk-and-compliance.html","https://web.archive.org/web/20250215/https://www.servicenow.com/products/governance-risk-and-compliance.html","CC-BY-4.0","en","GRC capabilities built on the ServiceNow platform.","data/md/rm007-servicenow.md"
"rm008","AuditBoard — Risk Oversight","AuditBoard Team","AuditBoard","2024-09-30","risk-management-software","https://www.auditboard.com/product/risk-oversight/","https://web.archive.org/web/20240930/https://www.auditboard.com/product/risk-oversight/","CC-BY-4.0","en","Audit-centric risk and compliance management.","data/md/rm008-auditboard.md"
"rm009","LogicGate — Risk Cloud","LogicGate Team","LogicGate","2024-06-12","risk-management-software","https://www.logicgate.com/risk-cloud/","https://web.archive.org/web/20240612/https://www.logicgate.com/risk-cloud/","CC-BY-4.0","en","Configurable risk workflow platform.","data/md/rm009-logicgate.md"
"rm010","ZenGRC — Simplified Compliance","ZenGRC Team","Bricata/ Reciprocity","2024-05-18","risk-management-software","https://reciprocity.com/product/zengrc/","https://web.archive.org/web/20240518/https://reciprocity.com/product/zengrc/","CC-BY-4.0","en","Lightweight GRC product for small-medium orgs.","data/md/rm010-zengrc.md"
